StatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode,AuditSessionID,UpdatedAt,UpdatedBy
108,5663,,,IN,12/19/2025,1,9,確認済,12/19/2025,Audit,,,,,,
109,5420,,mold,IN,12/19/2025,1,,テフロン加工後受取,,,,,,,,
110,5689,,,IN,12/22/2025,3,,確認済,12/22/2025,Audit,,,,,,
111,5694,,,IN,12/25/2025,3,6,確認済,12/25/2025,Audit,,,,,,
113,5528,,,IN,12/25/2025,1,10,確認済,12/25/2025,Audit,,,,,,
114,704,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
115,2042,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
116,1122,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
117,454,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
118,453,,,IN,12/25/2025,1,,確認済,12/25/2025,Audit,,,,,,
119,5687,,,IN,12/26/2025,3,,確認済,12/26/2025,Audit,,,,,,
120,5689,,,IN,12/26/2025,1,,確認済,12/26/2025,Audit,,,,,,
121,5340,,,IN,12/27/2025,1,,確認済,12/27/2025,Audit,,,,,,
122,5339,,,IN,12/27/2025,1,,確認済,12/27/2025,Check-in,,,,,,
123,811,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
124,877,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
125,880,,,IN,1/5/2026,1,,確認済,1/5/2026,Audit,,,,,,
126,4950,,,DISPOSED,1/5/2026,1,,廃棄済,,,,,,,,
127,5363,,,IN,1/6/2026,4,,確認済,1/6/2026,Audit,,,,,,
128,4667,,,OUT,1/6/2026,1,13,改造③,1/6/2026,Check-out,,,,,,
129,5696,,,IN,1/6/2026,4,7,確認済,1/6/2026,Audit,,,,,,
130,2930,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
131,933,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
132,943,,,RETURNED,1/6/2026,1,,返却済,1/6/2026,RETURNED,,,,,,
133,5697,,,IN,1/6/2026,3,,確認済,1/6/2026,Audit,,,,,,
137,5632,,,OUT,1/8/2026,1,9,,1/8/2026,Check-out,,,,,,
138,5633,,,OUT,1/8/2026,1,9,確認済,1/8/2026,Audit,,,,,,
139,5690,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
140,5543,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
141,4667,,,IN,1/8/2026,1,,改造③完了,1/8/2026,Check-in,,,,,,
145,5698,,mold,OUT,1/8/2026,1,1,発送,1/8/2026,Check-out,,,,,,
146,5699,,,IN,1/8/2026,1,,確認済,1/8/2026,Audit,,,,,,
147,3006,,,IN,1/13/2026,3,,確認済,1/13/2026,Audit,,,,,,
148,5698,,mold,OUT,1/13/2026,1,1,引取,1/13/2026,Check-out,,,,,,
149,5695,,,IN,1/14/2026,1,,確認済,1/14/2026,Audit,,,,,,
150,5341,,,IN,1/14/2026,1,5,確認済,1/14/2026,Audit,,,,,,
151,5706,,,IN,1/14/2026,1,,確認済,1/14/2026,Audit,,,,,,
153,5706,,mold,OUT,1/14/2026,1,1,発送,1/14/2026,Check-out,,,,,,
154,5702,,mold,OUT,1/14/2026,1,1,発送,1/14/2026,Check-out,,,,,,
155,775,,mold,OUT,1/14/2026,1,1,発送 | 返却,1/14/2026,Check-out,,,,,,
156,538,,,IN,1/17/2026,3,,確認済,1/17/2026,Audit,,,,,,
157,5705,,mold,OUT,1/17/2026,1,1,発送,1/17/2026,Check-out,,,,,,
158,5687,,,OUT,1/22/2026,1,19,,,,,,,,,
159,954,,,IN,1/22/2026,1,,確認済,1/22/2026,Audit,,,,,,
160,5710,,,IN,1/23/2026,1,10,確認済,1/23/2026,Audit,,,,,,
161,5710,,mold,IN,1/23/2026,1,1,坂田精文堂から | 写真,1/23/2026,Check-out,,,,,,
162,5646,,mold,OUT,1/23/2026,1,1,引取,1/23/2026,Check-out,,,,,,
163,5647,,mold,OUT,1/23/2026,1,1,引取 | 引取,1/23/2026,Check-out,,,,,,
164,5430,,,IN,1/26/2026,1,,確認済,1/26/2026,Audit,,,,,,
165,5430,,mold,OUT,1/26/2026,1,1,発送 | 坂田社長,1/26/2026,Check-out,,,,,,
166,5687,,mold,IN,1/26/2026,1,,テフロン加工後受取,,,,,,,,
167,1163,,mold,OUT,1/26/2026,1,,テフロン加工へ発送,,,,,,,,
168,5687,,mold,OUT,1/27/2026,1,1,発送 | 江口,1/27/2026,Check-out,,,,,,
169,5689,,mold,OUT,1/27/2026,1,,テフロン加工へ発送,,,,,,,,
