MoldCutterID,CutterID,MoldDesignID,DateEntry,MoldCutterNotes,UpdatedAt,UpdatedBy
365,522,1222,8/8/2024,,,
362,522,1223,8/8/2024,,,
363,522,1226,8/8/2024,,,
364,522,1227,8/8/2024,,,
958,523,2076,8/16/2024,,,
959,523,2080,8/16/2024,,,
2800,523,4329,1/28/2025,,,
695,525,959,8/16/2024,,,
696,526,960,8/16/2024,,,
1151,527,3046,8/16/2024,,,
830,530,1637,8/16/2024,,,
831,530,1639,8/16/2024,,,
832,530,1640,8/16/2024,,,
821,531,1598,8/16/2024,NGS013AB,,
1032,532,2307,8/16/2024,,,
1104,533,2866,8/16/2024,,,
744,534,1187,8/16/2024,KSP-105,,
745,534,1238,8/16/2024,,,
746,534,1239,8/16/2024,,,
749,534,1240,8/16/2024,,,
747,534,1244,8/16/2024,,,
748,534,1245,8/16/2024,,,
620,535,584,8/16/2024,,,
763,536,1319,8/16/2024,,,
764,536,1320,8/16/2024,,,
765,536,1323,8/16/2024,,,
766,537,1318,8/16/2024,,,
460,538,17,8/16/2024,,,
459,538,18,8/16/2024,,,
1136,539,2966,8/16/2024,,,
1134,540,2967,8/16/2024,,,
907,541,1948,8/16/2024,,,
1037,542,2309,8/16/2024,,,
772,543,1352,8/16/2024,,,
1152,544,3048,8/16/2024,,,
878,545,1807,8/16/2024,,,
629,546,614,8/16/2024,,,
630,546,615,8/16/2024,,,
485,547,65,8/16/2024,,,
861,548,1767,8/16/2024,,,
1030,549,2299,8/16/2024,,,
669,550,861,8/16/2024,,,
2795,551,2277,1/28/2025,,,
2796,552,2276,1/28/2025,,,
1027,552,2277,8/16/2024,,,
534,553,259,8/16/2024,,,
495,554,97,8/16/2024,,,
1859,554,1363,12/9/2024,,,
820,555,1597,8/16/2024,,,
1072,556,2865,8/16/2024,,,
1073,556,2868,8/16/2024,R3,,
574,557,508,8/16/2024,,,
575,557,509,8/16/2024,,,
578,557,512,8/16/2024,,,
579,557,513,8/16/2024,,,
580,557,514,8/16/2024,,,
895,558,1899,8/16/2024,,,
893,558,1900,8/16/2024,,,
894,558,1902,8/16/2024,,,
877,559,1808,8/16/2024,,,
544,560,292,8/16/2024,,,
545,560,293,8/16/2024,,,
827,561,1643,8/16/2024,,,
828,561,1644,8/16/2024,,,
829,561,1645,8/16/2024,,,
956,562,2079,8/16/2024,,,
957,562,2088,8/16/2024,,,
546,563,294,8/16/2024,,,
950,564,2057,8/16/2024,,,
626,566,606,8/16/2024,,,
627,566,897,8/16/2024,,,
1034,567,2310,8/16/2024,,,
1036,567,2315,8/16/2024,,,
1035,567,2316,8/16/2024,,,
1095,568,2715,8/16/2024,,,
1094,568,2840,8/16/2024,,,
1372,570,3157,9/11/2024,,,
486,571,85,8/16/2024,,,
2788,572,1069,1/28/2025,,,
1033,573,2316,8/16/2024,SZT-007T,,
703,574,971,8/16/2024,,,
702,574,972,8/16/2024,KIK003Txxx,,
631,575,673,8/16/2024,,,
632,575,674,8/16/2024,,,
633,575,688,8/16/2024,,,
634,575,689,8/16/2024,,,
635,575,694,8/16/2024,,,
636,575,695,8/16/2024,,,
637,575,696,8/16/2024,,,
638,575,697,8/16/2024,,,
494,578,89,8/16/2024,ADY-099B,,
493,578,90,8/16/2024,ADY-099T,,
1114,579,2511,8/16/2024,,,
704,580,969,8/16/2024,,,
1544,580,3596,9/30/2024,,,
707,581,970,8/16/2024,,,
706,581,972,8/16/2024,,,
985,583,2127,8/16/2024,,,
1039,584,2352,8/16/2024,,,
496,586,132,8/16/2024,ALP-001,,
497,586,3238,8/16/2024,,,
487,588,90,8/16/2024,ADY-099TB,,
640,589,683,8/16/2024,,,
697,590,965,8/16/2024,,,
554,592,309,8/16/2024,,,
701,593,975,8/16/2024,,,
983,594,2132,8/16/2024,,,
709,596,974,8/16/2024,,,
369,597,702,8/8/2024,JAE-169,,
370,597,706,8/8/2024,,,
371,597,744,8/8/2024,2021.6.19　茨城工場　491ｘ341,,
372,597,750,8/8/2024,,,
373,597,752,8/8/2024,,,
374,597,753,8/8/2024,,,
375,597,754,8/8/2024,,,
926,598,2009,8/16/2024,,,
891,599,1890,8/16/2024,,,
927,600,2008,8/16/2024,,,
918,601,2012,8/16/2024,,,
922,602,2011,8/16/2024,,,
885,604,1837,8/16/2024,,,
998,605,2190,8/16/2024,,,
999,605,2191,8/16/2024,,,
700,606,977,8/16/2024,,,
699,606,978,8/16/2024,,,
641,610,718,8/16/2024,,,
642,610,719,8/16/2024,,,
644,612,682,8/16/2024,,,
1011,613,2249,8/16/2024,,,
900,614,1922,8/16/2024,,,
