OrderHeadID,OrderNo,CustomerID,OrderDate,RequestedDeliveryDate,OrderStatus,CustomerPO,ContactPerson,CreatedAt,UpdatedAt,Notes,UpdatedBy
1,261881,9,3/10/2026,3/24/2026,NEW,MTM-194,江口,3/10/2026,3/10/2026,LOT 261881; 出荷 2026-03-23; 納期 2026-03-24; 台湾機成形; 別抜き; 袋詰め,
2,TO-2,1,3/10/2026,,NEW,,,,,Created from TrayOrderID=2,
3,261881,9,3/10/2026,3/23/2026,Released,MTM-194,江口様,3/11/2026,3/11/2026,LOT 261881; MTM-194; 台湾機成形; 2面取; 別抜き; 袋詰め; PET黒 0.70 640; 導電印刷 マルアイB-APET; 出荷 3/23; 納期 3/24; 22 shot = 44 pcs,
