CutterMasterID,CutterMasterCode,CutterMasterName,DesignMasterID,CustomerID,TrayID,Status,CreatedAt,UpdatedAt,Notes,UpdatedBy
1049,TKD004-CID-1432,TKD-004,3095,,2561,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1432,
1050,NGS011-CID-1434,NGS-011,1673,,1407,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1434,
1051,OMG003-CID-1435,OMG-003,3734,,4554,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1435,
1052,NGT001-CID-1437,NGT-001,1683,,1414,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1437,
1053,MZT016-CID-1439,MZT-016,1562,,4047,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1439,
1054,SMK142-CID-1441,SMK-142,3735,,4555,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1441,
1055,TE21564-CID-1444,TE-2-156-4,3736,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1444,
1056,YCM019-CID-1446,YCM-019,3259,,2703,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1446,
1057,GMY087-CID-1447,GMY-087,635,,524,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1447,
1058,ODS041-CID-1448,ODS-041,1841,,1539,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1448,
1059,GMY089-CID-1450,GMY-089,636,,525,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1450,
1060,ITS001-CID-1451,ITS-001,695,,594,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1451,
1061,KND002-CID-1452,KND-002,3737,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1452,
1062,GMY086-CID-1453,GMY-086,634,,523,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1453,
1063,YCM021-CID-1454,YCM-021,3738,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1454,
1064,KSP068-CID-1455,KSP-068,3740,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1455,
1065,GMY087-CID-1457,GMY-087,635,,524,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1457,
1066,TE31563-CID-1458,TE-3-156-3,3741,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1458,
1067,SSM004-CID-1459,SSM-004,2285,,1882,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1459,
1068,KSP068-CID-1460,KSP-068,3740,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1460,
1069,NIT008-CID-1464,NIT-008,1707,,1436,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1464,
1070,ADY063-CID-1465,ADY-063,156,,101,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1465,
1071,GMY086-CID-1475,GMY-086,634,,523,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1475,
1072,NGT001-CID-1479,NGT-001,1683,,1414,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1479,
1073,TIH003-CID-1481,TIH-003,3060,,2520,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1481,
1074,MZT087-CID-1482,MZT-087,1584,,1324,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1482,
1075,STD003-CID-1483,STD-003,2341,,1930,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1483,
1076,TE81033-CID-1486,TE-8-103-3,2953,,2431,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1486,
