FormingID,TrayOrderID,MoldID,CutterID,CutterNo,MachineID,EmployeeID,IDNhuaDinhHinh,CompanyID,FormingDate,SpreadOnOff,SpreadValue,FormingNotes,PlanStepID,UpdatedAt,UpdatedBy
5,,1917,1036,YS24048.822,,,,1,8/27/2024,OFF,0,,,,
6,,1917,1035,YS24048.808,,,,1,8/23/2024,ON,0,,,,
9,,1769,,,4,,,,10/19/2024,,,２Fで成形,,,
10,1,2098,1395,430,,,,1,3/10/2026,OFF,0,seed-min-20260310-01,1,,
