ProcessingItemID,ProcessingItemName,Description,ProcessingImage,ProcessingNotes,UpdatedAt,UpdatedBy
1,金型,,,,,
2,試作ポケット,,,,,
3,水冷盤,,,,,
4,圧空ベース,,,,,
5,サーブプレート,,,,,
6,プラグ,,,,,
7,スタッキング,,,,,
10,社内作業,,,,,
11,カッター治具,,,,,
12,成形,,,,,
13,プレス応援,,,,,
14,出荷,,,,,
15,アルミベース,,,,,
17,メンテナンス,,,,,
18,金型・プラグ・ベース修理,,,,,
19,治具,,,,,
20,アルミカッター,,,,,
21,事務,,,,,
22,抜き型,,,,,
23,金型清掃,,,,,
