PlasticWidthID,PlasticWidth,UpdatedAt,UpdatedBy
1,0,,
2,350,,
3,360,,
4,400,,
5,405,,
6,420,,
7,435,,
8,440,,
9,450,,
10,460,,
11,485,,
12,510,,
13,520,,
14,530,,
15,540,,
16,550,,
17,560,,
18,565,,
19,570,,
20,580,,
21,585,,
22,600,,
23,630,,
24,640,,
25,670,,
26,690,,
