PlasticLengthID,PlasticLengthPerPack,UpdatedAt,UpdatedBy
1,30,,
2,58,,
3,70,,
4,80,,
5,100,,
6,110,,
7,113,,
8,120,,
9,130,,
10,150,,
11,155,,
12,170,,
13,180,,
14,200,,
15,230,,
16,232,,
17,250,,
18,300,,
19,350,,
20,400,,
21,450,,
22,500,,
23,550,,
24,600,,
