PlasticThicknessID,PlasticThickness,UpdatedAt,UpdatedBy
1,0.25,,
2,0.3,,
3,0.38,,
4,0.4,,
5,0.45,,
6,0.48,,
7,0.5,,
8,0.58,,
9,0.6,,
10,0.68,,
11,0.7,,
12,0.78,,
13,0.8,,
14,0.88,,
15,0.9,,
16,0.95,,
17,0.98,,
18,1,,
19,1.08,,
20,1.1,,
21,1.18,,
22,1.2,,
23,1.48,,
24,1.5,,
25,1.8,,
