PlasticStaticChargeID,PlasticStaticCharge,PlasticStaticChargeNotes,UpdatedAt,UpdatedBy
1,帯電防止付,,,
2,導電防止付,,,
3,導電絞り込み,,,
4,導電印刷,,,
5,PS 端材,,,
6,PP 端材,,,
7,サンプル材,,,
8,PPマルアイ,,,
9,PETマルアイ,,,
10,PET端材,,,
11,PS,,,
12,PS（導電）,,,
13,PP,,,
14,7-50-7専用材,,,
15,PET,,,
16,PET（導電）,,,
17,PET　端材,,,
18,耐摩耗,,,
19,ミツミ預かり在庫,,,
20,その他,,,
21,帯電防止無,,,
22,導電グレード（レグルス HD-XL210）,,,
