MachineID,MachineName,MachineType,MachineLocation,MachineManager,MachineNotes,UpdatedAt,UpdatedBy
1,1号機,成形,2F,谷口,,,
2,2号機,成形,2F,谷口,,,
3,3号機,成形,2F,谷口,,,
4,4号機,成形,1F,谷口,,,
5,5号機,成形,1F,谷口,,,
6,6号機,成形,1F,小比類巻,,,
7,7号機,成形,1F,ヴィエット,,,
8,8号機,成形,1F,小比類巻,,,
9,台湾機,成形,1F,ハイ,,,
10,DuraVertical 5080,機械加工,1F,トアン,,,
11,CMX 1100V,機械加工,1F,トアン,,,
12,CMX 800V,機械加工,1F,トアン,,,
13,MILLAC 468V,機械加工,1F,トアン,,,
14,MILLAC 700V,機械加工,1F,クアン,,,
