PlasticColorID,PlasticColor,PlasticColorMemo,UpdatedAt,UpdatedBy
1,ナチュラル,,,
2,透明,,,
3,緑,,,
4,黒,,,
5,茶,,,
6,耐摩耗,,,
7,グレー,,,
