PlasticGroupID,PlasticGroup,UpdatedAt,UpdatedBy
1,PET　導電端材,,
2,耐摩耗PS,,
3,ミツミ預かり在庫,,
4,PS 端材,,
5,PP 端材,,
6,その他,,
7,サンプル材,,
8,PPマルアイ,,
9,PETマルアイ,,
10,PET端材,,
11,PS,,
12,PS（導電）,,
13,PP,,
14,7-50-7専用材,,
15,PET,,
16,PET（導電）,,
17,PET　端材,,
