PlasticCompanyID,PlasticCompany,UpdatedAt,UpdatedBy
1,VN,,
2,SR,,
3,AB材,,
4,VIRGIN,,
5,AB剤,,
6,又永,,
7,マタエロン,,
8,RP,,
9,ミネロン,,
10,東プラAB材,,
11,AB材入,,
12,中国,,
13,YS3 中国,,
14,東プラ中国,,
15,支給材,,
16,マルアイ,,
17,レグルス,,
18,シーダム,,
19,共栄,,
20,スプ,,
21,スプ304,,
22,カネロン,,
23,東プラ,,
