DefectID,JobID,IDJobNo,DefectNumbers,DefectDate,DefectDetails,NguyenNhan,DoiSach,Anhfuguai1,KyThang,KyNam,Anhfuguai2,Anhfuguai3,UpdatedAt,UpdatedBy
1,94,8-162-4 PS,1,4/10/2023,アンダースタックは金型正面から13ｍｍの深さを設計されているが、18ｍｍで加工してしまいました。,アンダースタック工具オフセット面を間違えました。,工具オフセット前に正面「最も高い面」を確認してから作業する。,8-912162-4.bmp,4,2023,,,,
2,552,TOK-013,1,6/22/2023,アンダースタックの径はΦ8.6ですがΦ17.2になりました。,アンダースタック加工の補正方向が間違えて加工してしまいました。,プログラム加工シミュレーションをするときアンダースタックレイヤーをオンにしてverifyモードで確認します。,TOK-013 understack error.bmp,6,2023,,,,
3,159,ATS-032　PLATE,1,11/24/2023,加工した穴の位置は外れました。,"大きなサイズの板を加工する時に原点位置を再測定しないといけませんが、
原点設定G59とG54を間違えたため不具合を発生しました。","原点は正しく設定されたことを確認する。

加工穴位置を確認するため、最初の工程はセンタードリルで加工してからはかって確認する",,11,2023,,,,
13,7,1-160-4 (Kaizen),1,5/27/2024,"改造した1-160-4の金型の中心がズレており、
金型からフレームまでの距離が短い方は、カットラインに余計な部分が入り込んでしまいます。",加工前は、金型の表と裏の中心が外れていることに気が付かず、裏面に基準として加工しまいました。,"- 加工前に金型の寸法や状態を確認してから行います。
- 追加工の場合、出来るだけ表面に基準して加工します。
- 加工完了後、金型の寸法や状態を確認します。",1-160-4 fuguai.jpg,6,2024,1-160-4 Fuguai kakou.bmp,,,
